Animal,Time(s),Distance(unit of box side),Speed(unit/s),x,y,Error,Total Error
rat,2.0,0.23,0.02357,37.0,555.0,0.0184,0.0184
rat,4.0,0.27,0.03727,35.0,555.0,0.0167,0.0352
rat,6.0,0.79,0.16750,339.0,580.0,0.0203,0.0554
rat,8.0,1.14,0.01667,532.0,580.0,0.0180,0.0734
rat,10.0,1.34,0.16750,578.0,484.0,0.0304,0.1038
rat,12.0,2.01,0.31667,580.0,82.0,0.0177,0.1215
rat,14.0,2.08,0.00000,579.0,64.0,0.0118,0.1333
rat,16.0,2.57,0.16750,295.0,20.0,0.0118,0.1451
rat,18.0,2.97,0.01667,66.0,23.0,0.0047,0.1498
rat,20.0,3.04,0.02357,99.0,35.0,0.0165,0.1663
rat,22.0,3.29,0.05000,26.0,132.0,0.0097,0.1760
rat,24.0,3.79,0.03727,27.0,432.0,0.0083,0.1844
rat,26.0,3.90,0.00000,22.0,482.0,0.0118,0.1961
rat,28.0,4.32,0.25055,202.0,579.0,0.0227,0.2188
rat,30.0,4.90,0.05000,540.0,580.0,0.0137,0.2325
rat,32.0,5.06,0.16997,567.0,539.0,0.0217,0.2542
rat,34.0,5.38,0.07071,563.0,378.0,0.0143,0.2686
rat,36.0,5.76,0.25221,579.0,184.0,0.0134,0.2820
rat,38.0,5.95,0.00000,573.0,78.0,0.0277,0.3097
rat,40.0,6.05,0.09718,548.0,44.0,0.0167,0.3264
rat,42.0,6.50,0.00000,293.0,24.0,0.0130,0.3394
rat,44.0,6.89,0.00000,64.0,20.0,0.0071,0.3465
rat,46.0,7.14,0.01667,26.0,156.0,0.0069,0.3534
rat,48.0,7.76,0.13333,19.0,528.0,0.0075,0.3608
rat,50.0,8.05,0.09718,134.0,545.0,0.0227,0.3835
rat,52.0,8.25,0.02357,226.0,557.0,0.0120,0.3955
rat,54.0,8.43,0.01667,281.0,525.0,0.0172,0.4127
rat,56.0,8.72,0.42720,404.0,561.0,0.0158,0.4285
rat,58.0,9.03,0.01667,550.0,574.0,0.0157,0.4442
rat,60.0,9.18,0.01667,547.0,507.0,0.0269,0.4711
rat,62.0,9.54,0.01667,581.0,319.0,0.0180,0.4891
rat,64.0,9.98,0.23570,579.0,74.0,0.0154,0.5045
rat,66.0,10.09,0.01667,576.0,63.0,0.0460,0.5504
rat,68.0,10.22,0.01667,520.0,57.0,0.0060,0.5564
rat,70.0,10.56,0.68718,378.0,95.0,0.0067,0.5631
rat,72.0,11.21,0.10672,61.0,291.0,0.0069,0.5700
rat,74.0,11.71,0.08333,37.0,553.0,0.0112,0.5812
rat,76.0,12.04,0.03727,214.0,579.0,0.0307,0.6119
rat,78.0,12.61,0.00000,553.0,576.0,0.0157,0.6276
rat,80.0,12.82,0.09718,580.0,522.0,0.0213,0.6490
rat,82.0,12.97,0.05270,557.0,550.0,0.0227,0.6716
rat,84.0,13.15,0.01667,524.0,576.0,0.0083,0.6800
rat,86.0,13.80,0.25055,139.0,581.0,0.0151,0.6951
rat,88.0,14.00,0.01667,30.0,588.0,0.0047,0.6998
rat,90.0,14.27,0.01667,72.0,476.0,0.0211,0.7209
rat,92.0,14.40,0.13437,47.0,473.0,0.0142,0.7351
rat,94.0,14.77,0.01667,44.0,292.0,0.0133,0.7484
rat,96.0,14.89,0.00000,21.0,233.0,0.0067,0.7551
rat,98.0,15.24,0.24037,78.0,40.0,0.0085,0.7636
rat,100.0,15.31,0.00000,75.0,35.0,0.0118,0.7754
rat,102.0,15.71,0.01667,270.0,16.0,0.0118,0.7872
rat,104.0,15.91,0.25495,366.0,28.0,0.0017,0.7888
rat,106.0,16.30,0.13437,558.0,61.0,0.0141,0.8030
rat,108.0,16.56,0.25055,584.0,183.0,0.0167,0.8196
rat,110.0,17.18,0.01667,583.0,540.0,0.0130,0.8327
rat,112.0,17.37,0.00000,534.0,578.0,0.0239,0.8565
rat,114.0,17.40,0.05270,530.0,578.0,0.0177,0.8742
rat,116.0,17.43,0.00000,536.0,578.0,0.0141,0.8884
rat,118.0,17.47,0.01667,537.0,578.0,0.0177,0.9061
rat,120.0,17.50,0.00000,537.0,578.0,0.0177,0.9238
